wl,bg,wl1,39_C.sexpl_intact_bright_i2_p1_r1,39_C.sexpl_intact_bright_i2_p1_r1_cal,wl1,40_C.sexpl_intact_darkpt_i2_p1_r1,40_C.sexpl_intact_darkpt_i2_p1_r1_cal,wl1,41_C.sexpl_intact_bright_i2_p2_r1,41_C.sexpl_intact_bright_i2_p2_r1_cal,wl1,42_C.sexpl_intact_darkpt_i2_p2_r1,42_C.sexpl_intact_darkpt_i2_p2_r1_cal,wl1,43_C.sexpl_alterd_darkpt_i2_p1_r1,43_C.sexpl_alterd_darkpt_i2_p1_r1_cal,wl1,44_C.sexpl_alterd_bright_i2_p1_r1,44_C.sexpl_alterd_bright_i2_p1_r1_cal,wl,45_C.sexpl_alterd_darkpt_i2_p2_r1,45_C.sexpl_alterd_darkpt_i2_p2_r1_cal,wl,46_C.sexpl_alterd_bright_i2_p2_r1,46_C.sexpl_alterd_bright_i2_p2_r1_cal,wl,47_T.bonvo_intact_bright_i2_p1_r1,47_T.bonvo_intact_bright_i2_p1_r1_cal,wl,48_T.bonvo_intact_darkpt_i2_p1_r1,48_T.bonvo_intact_darkpt_i2_p1_r1_cal,wl,49.T.bonvo_intact_bright_2_2_1,49.T.bonvo_intact_bright_2_2_1_cal,wl,50_T.bonvo_intact_darkpt_i2_p2_r1,50_T.bonvo_intact_darkpt_i2_p2_r1_cal,wl,51_T.bonvo_alterd_bright_i2_p1_r1,51_T.bonvo_alterd_bright_i2_p2_r1.txt,wl,52_T.bonvo_alterd_darkpt_i2_p1_r1,52_T.bonvo_alterd_darkpt_i2_p1_r1_cal,wl,std2204New,wl,std2204old,difference,wl,53_T.bonvo_alterd_bright_i2_p2_r1,53_T.bonvo_alterd_bright_i2_p2_r1_cal,wl,54_T.bonvo_alterd_darkpt_i2_p2_r1,54_T.bonvo_alterd_darkpt_i2_p2_r1_cal,wl,55_C.scala_intact_bright_i2_p1_r1,55_C.scala_intact_bright_i2_p1_r1_cal,wl,56_C.scala_intact_darkpt_i2_p1_r1,56_C.scala_intact_darkpt_i2_p1_r1_cal,wl,57_C.scala_intact_bright_i2_p2_r1,57_C.scala_intact_bright_i2_p2_r1_cal,wl,58_C.scala_intact_darkpt_i2_p2_r1,58_C.scala_intact_darkpt_i2_p2_r1_cal,wl,59_C.scala_alterd_bright_i2_p1_r1,59_C.scala_alterd_bright_i2_p1_r1_cal,wl,60_C.scala_alterd_darkpt_i2_p1_r1,60_C.scala_alterd_darkpt_i2_p1_r1_cal,wl,61_C.scala_alterd_bright_i2_p2_r1,61_C.scala_alterd_bright_i2_p2_r1_cal,wl,62_C.scala_alterd_darkpt_i2_p2_r1,62_C.scala_alterd_darkpt_i2_p2_r1_cal,wl,63_C.octos_intact_bright_i2_p1_r1,63_C.octos_intact_bright_i2_p1_r1_cal,wl,64_C.octos_intact_darkpt_i2_p1_r1,64_C.octos_intact_darkpt_i2_p1_r1_cal,wl,65_C.octos_intact_bright_i2_p2_r1,65_C.octos_intact_bright_i2_p2_r1_cal,wl,66_C.octos_intact_darkpt_i2_p2_r1,66_C.octos_intact_darkpt_i2_p2_r1_cal,wl,67_C.octos_alterd_bright_i2_p1_r1,67_C.octos_alterd_bright_i2_p1_r1_cal,wl,68_C.octos_alterd_darkpt_i2_p1_r1,68_C.octos_alterd_darkpt_i2_p1_r1_cal,wl,69_C.octos_alterd_bright_i2_p2_r1,69_C.octos_alterd_bright_i2_p2_r1_cal,wl,70_C.octos_alterd_darkpt_i2_p2_r1,70_C.octos_alterd_darkpt_i2_p2_r1_cal,wl,71_T.bruck_intact_bright_i2_p1_r1,71_T.bruck_intact_bright_i2_p1_r1_cal,wl,72_T.bruck_intact_bright_i2_p2_r1,72_T.bruck_intact_bright_i2_p2_r1_cal,wl,73_T.bruck_alterd_bright_i2_p1_r1,73_T.bruck_alterd_bright_i2_p1_r1_cal,wl,74_T.bruck_alterd_bright_i2_p2_r1,74_T.bruck_alterd_bright_i2_p2_r1_cal
400,-1.62E-09,400,-1.40E-09,86.2345679,400,-1.36E-09,84.13580247,400,-1.37E-09,84.81481481,400,-1.31E-09,80.67901235,400,-1.58E-09,97.5308642,400,-1.44E-09,88.7037037,400,-1.37E-09,84.32098765,400,-1.36E-09,83.64197531,400,-1.42E-09,87.40740741,400,-1.29E-09,79.75308642,400,-1.61E-09,99.07407407,400,-9.16E-10,56.54320988,400,-1.39E-09,85.98765432,400,-1.14E-09,70.55555556,400,-1.50E-09,400,-1.63E-09,1.25E-10,400,-1.36E-09,90.35904255,400,-1.45E-09,96.34308511,400,-1.30E-09,86.1037234,400,-1.50E-09,99.46808511,400,-1.32E-09,87.56648936,400,-1.43E-09,95.1462766,400,-1.35E-09,89.42819149,400,-1.47E-09,97.80585106,400,-1.70E-09,112.9654255,400,-2.29E-09,152.1941489,400,-1.27E-09,84.50797872,400,-1.25E-09,83.04521277,400,-1.30E-09,86.23670213,400,-1.26E-09,83.71010638,400,-1.27E-09,84.70744681,400,-1.37E-09,90.75797872,400,-1.31E-09,86.76861702,400,-1.24E-09,82.51329787,400,-1.38E-09,91.42287234,400,-1.43E-09,94.74734043,400,-1.35E-09,89.82712766,400,-1.64E-09,109.1755319
405,-1.87E-09,405,-1.41E-09,75.29348986,405,-1.38E-09,73.79935966,405,-1.39E-09,74.2796158,405,-1.34E-09,71.29135539,405,-1.61E-09,85.75240128,405,-1.45E-09,77.53468517,405,-1.39E-09,74.06616862,405,-1.38E-09,73.53255069,405,-1.40E-09,74.65314835,405,-1.54E-09,82.33724653,405,-1.55E-09,82.49733191,405,-1.40E-09,74.86659552,405,-1.42E-09,75.50693703,405,-1.47E-09,78.38847385,405,-1.83E-09,405,-1.94E-09,1.12E-10,405,-1.38E-09,75.75259989,405,-1.49E-09,81.39025725,405,-1.32E-09,72.30432403,405,-1.50E-09,82.32074439,405,-1.34E-09,73.45374932,405,-1.49E-09,81.66392994,405,-1.34E-09,73.45374932,405,-1.51E-09,82.53968254,405,-1.73E-09,94.47181171,405,-2.33E-09,127.5314724,405,-1.30E-09,71.26436782,405,-1.28E-09,69.89600438,405,-1.34E-09,73.2895457,405,-1.29E-09,70.44334975,405,-1.31E-09,71.81171319,405,-1.39E-09,76.02627258,405,-1.32E-09,72.46852764,405,-1.26E-09,68.85604817,405,-1.40E-09,76.84729064,405,-1.45E-09,79.36507937,405,-1.39E-09,75.9168035,405,-1.65E-09,90.03831418
410,-4.96E-09,410,-1.61E-09,32.45260186,410,-1.53E-09,30.75837031,410,-1.59E-09,32.08955224,410,-1.49E-09,30.07260992,410,-1.80E-09,36.20411456,410,-1.67E-09,33.70310609,410,-1.55E-09,31.22226704,410,-1.63E-09,32.87615974,410,-1.57E-09,31.74667205,410,-1.68E-09,33.94513917,410,-1.78E-09,35.86123437,410,-1.61E-09,32.43243243,410,-1.70E-09,34.24768052,410,-1.84E-09,37.05123033,410,-5.22E-09,410,-5.04E-09,-1.77E-10,410,-1.66E-09,31.69890826,410,-1.86E-09,35.58705229,410,-1.58E-09,30.20494158,410,-1.70E-09,32.63742578,410,-1.63E-09,31.20091936,410,-1.74E-09,33.30779544,410,-1.63E-09,31.29668646,410,-1.80E-09,34.47615399,410,-2.00E-09,38.34514461,410,-2.56E-09,48.99444551,410,-1.57E-09,29.99425397,410,-1.52E-09,29.09404329,410,-1.57E-09,30.14748133,410,-1.54E-09,29.53457192,410,-1.63E-09,31.12430569,410,-1.63E-09,31.18176595,410,-1.61E-09,30.85615782,410,-1.51E-09,28.94081594,410,-1.70E-09,32.52250527,410,-1.71E-09,32.71403946,410,-1.75E-09,33.46102279,410,-1.98E-09,37.94292281
415,-2.63E-08,415,-2.91E-09,11.04399362,415,-2.47E-09,9.368589013,415,-2.98E-09,11.30613175,415,-2.57E-09,9.759896664,415,-3.19E-09,12.11154168,415,-3.25E-09,12.35088519,415,-2.77E-09,10.51971735,415,-3.43E-09,13.0309247,415,-3.19E-09,12.11913988,415,-3.97E-09,15.09763696,415,-3.26E-09,12.36988071,415,-3.51E-09,13.32345566,415,-3.89E-09,14.75951675,415,-4.78E-09,18.17111162,415,-2.84E-08,415,-2.73E-08,-1.07E-09,415,-3.92E-09,13.81764374,415,-4.41E-09,15.52987599,415,-3.27E-09,11.5276212,415,-3.24E-09,11.40431229,415,-3.53E-09,12.4401071,415,-3.49E-09,12.30975197,415,-3.49E-09,12.27804397,415,-3.88E-09,13.67671928,415,-3.90E-09,13.73308906,415,-4.29E-09,15.11767193,415,-3.26E-09,11.49591319,415,-3.07E-09,10.82652198,415,-3.14E-09,11.06609357,415,-3.25E-09,11.46068207,415,-3.83E-09,13.5005637,415,-3.23E-09,11.38669673,415,-3.52E-09,12.4083991,415,-3.29E-09,11.58046787,415,-3.69E-09,13.0143743,415,-3.49E-09,12.28156708,415,-4.16E-09,14.63852875,415,-4.02E-09,14.1699549
420,-1.48E-07,420,-1.02E-08,6.88949063,420,-7.81E-09,5.263441512,420,-1.07E-08,7.195974619,420,-8.57E-09,5.769982082,420,-1.10E-08,7.435773081,420,-1.21E-08,8.170661062,420,-9.77E-09,6.58233305,420,-1.37E-08,9.222136901,420,-1.27E-08,8.566059087,420,-1.57E-08,10.58413827,420,-1.10E-08,7.436446672,420,-1.37E-08,9.232240768,420,-1.49E-08,10.04526533,420,-2.11E-08,14.21546835,420,-1.59E-07,420,-1.54E-07,-5.75E-09,420,-1.66E-08,10.40137974,420,-1.91E-08,11.95108184,420,-1.29E-08,8.095954845,420,-1.23E-08,7.706491063,420,-1.41E-08,8.866729382,420,-1.36E-08,8.541862653,420,-1.40E-08,8.78708059,420,-1.63E-08,10.22577611,420,-1.47E-08,9.22358106,420,-1.48E-08,9.291941047,420,-1.27E-08,7.940420194,420,-1.18E-08,7.397930386,420,-1.17E-08,7.335841957,420,-1.28E-08,7.998118532,420,-1.60E-08,10.04201944,420,-1.20E-08,7.55283788,420,-1.42E-08,8.888052681,420,-1.29E-08,8.119159611,420,-1.50E-08,9.383505801,420,-1.35E-08,8.483537159,420,-1.80E-08,11.27312637,420,-1.62E-08,10.13421135
425,-9.23E-08,425,-6.83E-09,7.401711253,425,-5.30E-09,5.743528647,425,-7.07E-09,7.655150005,425,-5.76E-09,6.23524315,425,-7.42E-09,8.040723492,425,-8.07E-09,8.736055453,425,-6.54E-09,7.085454349,425,-8.95E-09,9.694573811,425,-8.22E-09,8.905014621,425,-9.94E-09,10.76789776,425,-7.20E-09,7.792700097,425,-9.01E-09,9.757391964,425,-9.34E-09,10.11913788,425,-1.32E-08,14.25647135,425,-9.68E-08,425,-9.39E-08,-2.96E-09,425,-1.06E-08,10.94824915,425,-1.21E-08,12.45739077,425,-8.34E-09,8.612746617,425,-8.31E-09,8.579692181,425,-9.05E-09,9.344076025,425,-8.98E-09,9.27590125,425,-9.11E-09,9.408118996,425,-1.09E-08,11.27672761,425,-9.66E-09,9.982439831,425,-1.02E-08,10.57432083,425,-8.20E-09,8.472265262,425,-7.59E-09,7.840099163,425,-7.57E-09,7.815308336,425,-8.07E-09,8.340047516,425,-1.02E-08,10.58361739,425,-7.76E-09,8.018799711,425,-9.25E-09,9.551699205,425,-8.32E-09,8.596219399,425,-9.80E-09,10.12085528,425,-8.87E-09,9.157111869,425,-1.19E-08,12.26113005,425,-1.08E-08,11.18686086
430,-7.07E-08,430,-5.56E-09,7.858193337,430,-4.40E-09,6.224899598,430,-5.73E-09,8.097177442,430,-4.72E-09,6.668929238,430,-6.14E-09,8.684031902,430,-6.60E-09,9.337349398,430,-5.43E-09,7.675773517,430,-7.24E-09,10.23954975,430,-6.64E-09,9.392499576,430,-7.47E-09,10.55630975,430,-5.92E-09,8.377170654,430,-7.22E-09,10.20702528,430,-7.67E-09,10.84195939,430,-1.05E-08,14.9089315,430,-7.39E-08,430,-7.22E-08,-1.68E-09,430,-8.57E-09,11.59881399,430,-9.60E-09,13.00009477,430,-6.77E-09,9.164511718,430,-6.97E-09,9.429875036,430,-7.26E-09,9.831981695,430,-7.39E-09,10.00528019,430,-7.41E-09,10.03100418,430,-9.13E-09,12.35970268,430,-7.89E-09,10.68358132,430,-8.70E-09,11.77617416,430,-6.61E-09,8.943826918,430,-6.18E-09,8.372483449,430,-6.13E-09,8.302080936,430,-6.47E-09,8.752927797,430,-8.41E-09,11.38760645,430,-6.35E-09,8.59046046,430,-7.60E-09,10.28553635,430,-6.72E-09,9.0954631,430,-8.06E-09,10.91374338,430,-7.29E-09,9.875306319,430,-9.81E-09,13.28576651,430,-9.08E-09,12.29200796
435,-6.91E-08,435,-5.47E-09,7.916094033,435,-4.35E-09,6.295840868,435,-5.63E-09,8.144665461,435,-4.64E-09,6.709584087,435,-6.12E-09,8.846292948,435,-6.56E-09,9.49005425,435,-5.42E-09,7.837974684,435,-7.13E-09,10.320434,435,-6.55E-09,9.46835443,435,-7.39E-09,10.68643761,435,-5.78E-09,8.366003617,435,-7.13E-09,10.3074141,435,-7.38E-09,10.67197107,435,-1.07E-08,15.5443038,435,-7.15E-08,435,-7.03E-08,-1.27E-09,435,-8.43E-09,11.78263362,435,-9.30E-09,12.99472941,435,-6.68E-09,9.338869549,435,-7.07E-09,9.879908848,435,-7.14E-09,9.983363391,435,-7.37E-09,10.30071719,435,-7.38E-09,10.32168771,435,-9.30E-09,13.00731172,435,-7.82E-09,10.93822086,435,-8.72E-09,12.18666555,435,-6.53E-09,9.126368326,435,-6.10E-09,8.529407653,435,-6.06E-09,8.476282347,435,-6.23E-09,8.709754086,435,-8.45E-09,11.81478841,435,-6.24E-09,8.722336395,435,-7.64E-09,10.68098254,435,-6.59E-09,9.211648422,435,-8.05E-09,11.25976877,435,-7.29E-09,10.19027248,435,-9.98E-09,13.95657705,435,-9.21E-09,12.87170239
440,-6.60E-08,440,-5.35E-09,8.116425377,440,-4.23E-09,6.406427651,440,-5.43E-09,8.233153945,440,-4.49E-09,6.803607974,440,-5.98E-09,9.068445388,440,-6.41E-09,9.714242401,440,-5.33E-09,8.086106268,440,-6.95E-09,10.54043811,440,-5.87E-09,8.894110513,440,-6.92E-09,10.48889563,440,-5.56E-09,8.433260062,440,-6.85E-09,10.37671492,440,-7.33E-09,11.11195331,440,-9.99E-09,15.14439475,440,-6.76E-08,440,-6.67E-08,-8.64E-10,440,-8.20E-09,12.12686015,440,-8.83E-09,13.057306,440,-6.48E-09,9.579598237,440,-7.02E-09,10.37839117,440,-6.88E-09,10.18017218,440,-7.15E-09,10.57956865,440,-7.19E-09,10.63282151,440,-9.24E-09,13.66675542,440,-7.62E-09,11.27037662,440,-8.74E-09,12.92269459,440,-6.37E-09,9.422798142,440,-5.91E-09,8.743824147,440,-5.94E-09,8.783763794,440,-5.89E-09,8.711280731,440,-8.36E-09,12.36501879,440,-0.000000006,8.875477057,440,-7.57E-09,11.19789355,440,-6.36E-09,9.413922665,440,-7.89E-09,11.66533535,440,-7.16E-09,10.58844413,440,-9.97E-09,14.75400136,440,-9.14E-09,13.5188308
445,-6.70E-08,445,-5.44E-09,8.118631678,445,-4.26E-09,6.359743999,445,-5.48E-09,8.179797407,445,-4.54E-09,6.772985634,445,-6.05E-09,9.028658382,445,-6.51E-09,9.707448792,445,-5.44E-09,8.121615372,445,-7.01E-09,10.45486417,445,-6.17E-09,9.197237099,445,-6.95E-09,10.3638615,445,-5.54E-09,8.266324536,445,-6.77E-09,10.10577196,445,-7.29E-09,10.87705688,445,-9.76E-09,14.56341096,445,-6.81E-08,445,-6.75E-08,-6.22E-10,445,-8.20E-09,12.03539304,445,-8.70E-09,12.76614477,445,-6.48E-09,9.504174676,445,-7.22E-09,10.59149804,445,-6.87E-09,10.083787,445,-7.20E-09,10.55774846,445,-7.29E-09,10.69714889,445,-9.48E-09,13.90482619,445,-7.65E-09,11.22980528,445,-8.97E-09,13.15499861,445,-6.56E-09,9.628901378,445,-5.89E-09,8.639892001,445,-6.07E-09,8.905486508,445,-5.76E-09,8.450600889,445,-8.64E-09,12.6722329,445,-5.94E-09,8.708858531,445,-7.79E-09,11.42349851,445,-6.38E-09,9.366241618,445,-8.04E-09,11.79034175,445,-7.33E-09,10.75290907,445,-1.03E-08,15.12714787,445,-9.44E-09,13.85493551
