wl,bg,wl1,01_C.sexpl_intact_bright_i2_p1_r1,01_C.sexpl_intact_bright_i2_p1_r1_cal,wl1,02_C.sexpl_intact_darkpt_i2_p1_r1,02_C.sexpl_intact_darkpt_i2_p1_r1_Cal,wl1,03_C.sexpl_intact_bright_i2_p2_r1,03_C.sexpl_intact_bright_i2_p2_r2_cal,wl1,04_C.sexpl_intact_darkpt_i2_p2_r1,04_C.sexpl_intact_darkpt_i2_p2_r1_cal,wl1,05_C.sexpl_alterd_bright_i2_p1_r1,05_C.sexpl_alterd_bright_i2_p1_r1_cal,wl1,06_C.sexpl_alterd_darkpt_i2_p1_r1,06_C.sexpl_alterd_darkpt_i2_p1_r1_cal,wl,07_C.sexpl_alterd_bright_i2_p2_r1,07_C.sexpl_alterd_bright_i2_p2_r1_cal,wl,08_C.sexpl_alterd_darkpt_i2_p2_r1,08_C.sexpl_alterd_darkpt_i2_p2_r1_cal,wl,09_T.bonvo_intact_bright_i2_p1_r1,09_T.bonvo_intact_bright_i2_p1_r1_cal,wl,10_T.bonvo_intact_darkpt_i2_p1_r1,10_T.bonvo_intact_darkpt_i2_p1_r1_cal,wl,11.T.bonvo_intact_bright_2_2_1,11.T.bonvo_intact_bright_2_2_1_cal,wl,12_T.bonvo_intact_darkpt_i2_p2_r1,12_T.bonvo_intact_darkpt_i2_p2_r1_cal,wl,13_T.bonvo_alterd_bright_i2_p1_r1,13_T.bonvo_alterd_bright_i2_p1_r1_cal,wl,14_T.bonvo_alterd_darkpt_i2_p1_r1,14_T.bonvo_alterd_darkpt_i2_p1_r1_cal,wl,15_T.bonvo_alterd_bright_i2_p2_r1,15_T.bonvo_alterd_bright_i2_p2_r1_cal,wl,16_T.bonvo_alterd_darkpt_i2_p2_r1,16_T.bonvo_alterd_darkpt_i2_p2_r1_cal,wl,17_C.scala_intact_bright_i2_p1_r1,17_C.scala_intact_bright_i2_p1_r1_cal,wl,18_C.scala_intact_darkpt_i2_p1_r1,18_C.scala_intact_darkpt_i2_p1_r1_cal,wl,19_C.scala_intact_bright_i2_p2_r1,19_C.scala_intact_bright_i2_p2_r1_cal,wl,20_C.scala_intact_darkpt_i2_p2_r1,20_C.scala_intact_darkpt_i2_p2_r1_cal,wl,21_C.scala_alterd_bright_i2_p1_r1,21_C.scala_alterd_bright_i2_p1_r1_cal,wl,22_C.scala_alterd_darkpt_i2_p1_r1,22_C.scala_alterd_darkpt_i2_p1_r1_cal,wl,23_C.scala_alterd_bright_i2_p2_r1,23_C.scala_alterd_bright_i2_p2_r1_cal,wl,24_C.scala_alterd_darkpt_i2_p2_r1,24_C.scala_alterd_darkpt_i2_p2_r1_cal,wl,25_C.octos_intact_bright_i2_p1_r1,25_C.octos_intact_bright_i2_p1_r1_cal,wl,26_C.octos_intact_darkpt_i2_p1_r1,26_C.octos_intact_darkpt_i2_p1_r1_cal,wl,27_C.octos_intact_bright_i2_p2_r1,27_C.octos_intact_bright_i2_p2_r1_cal,wl,28_C.octos_intact_darkpt_i2_p2_r1,28_C.octos_intact_darkpt_i2_p2_r1_cal,wl,29_C.octos_alterd_bright_i2_p1_r1,29_C.octos_alterd_bright_i2_p1_r1_cal,wl,30_C.octos_alterd_darkpt_i2_p1_r1,30_C.octos_alterd_darkpt_i2_p1_r1_cal,wl,31_C.octos_alterd_bright_i2_p2_r1,31_C.octos_alterd_bright_i2_p2_r1_cal,wl,32_C.octos_alterd_darkpt_i2_p2_r1,32_C.octos_alterd_darkpt_i2_p2_r1_cal,wl,33_T.bruck_intact_bright_i2_p1_r1,33_T.bruck_intact_bright_i2_p1_r1_cal,wl,34_T.bruck_intact_bright_i2_p2_r1,34_T.bruck_intact_bright_i2_p2_r1_cal,wl,35_T.bruck_alterd_bright_i2_p1_r1,35_T.bruck_alterd_bright_i2_p1_r1_cal,wl,36_T.bruck_alterd_bright_i2_p2_r1,36_T.bruck_alterd_bright_i2_p2_r1_cal
400,-2.39E-08,400,-1.36E-08,56.74298128,400,-1.55E-08,64.77690508,,,,,,,400,-1.56E-08,65.14037433,400,-1.74E-08,72.84842914,,,,,,,400,-1.57E-08,65.52055481,400,-1.62E-08,67.65541444,,,,,,,400,-1.41E-08,58.97810829,400,-1.34E-08,55.92830882,,,,,,,400,-1.27E-08,52.94953209,400,-1.33E-08,55.5230615,,,,,,,400,-1.53E-08,63.85778743,400,-1.37E-08,57.32369652,,,,,,,400,-1.45E-08,60.73278743,400,-1.28E-08,53.5177139,,,,,,,400,-1.56E-08,65.00668449,400,-1.40E-08,58.58121658,,,,,,,400,-1.62E-08,67.77239305,,,,400,-1.68E-08,70.13285428,,,
405,-2.45E-08,405,-1.36E-08,55.50200147,405,-1.55E-08,63.3935136,,,,,,,405,-1.56E-08,63.85099257,405,-1.75E-08,71.2809411,,,,,,,405,-1.57E-08,64.12874765,405,-1.62E-08,66.19148762,,,,,,,405,-1.41E-08,57.74854996,405,-1.34E-08,54.73409035,,,,,,,405,-1.27E-08,51.85850829,405,-1.33E-08,54.31745772,,,,,,,405,-1.54E-08,62.84208806,405,-1.38E-08,56.20455845,,,,,,,405,-1.45E-08,59.41099583,405,-1.28E-08,52.36908749,,,,,,,405,-1.56E-08,63.64676089,405,-1.40E-08,57.30332489,,,,,,,405,-1.63E-08,66.55093538,,,,405,-1.69E-08,68.97720774,,,
410,-3.03E-08,410,-1.37E-08,45.14329107,410,-1.56E-08,51.44941891,,,,,,,410,-1.60E-08,52.84931326,410,-1.75E-08,57.90412044,,,,,,,410,-1.58E-08,52.01069731,410,-1.62E-08,53.64830956,,,,,,,410,-1.42E-08,46.87995246,410,-1.34E-08,44.38391442,,,,,,,410,-1.29E-08,42.62414157,410,-1.34E-08,44.12308505,,,,,,,410,-1.59E-08,52.53235605,410,-1.39E-08,45.9620972,,,,,,,410,-1.47E-08,48.40861067,410,-1.29E-08,42.50528262,,,,,,,410,-1.58E-08,52.2120972,410,-1.41E-08,46.51347068,,,,,,,410,-1.72E-08,56.86740623,,,,410,-1.80E-08,59.35684099,,,
415,-7.05E-08,415,-1.46E-08,20.68070991,415,-1.59E-08,22.47249943,,,,,,,415,-1.89E-08,26.81163529,415,-1.79E-08,25.43660694,,,,,,,415,-1.60E-08,22.73899977,415,-1.64E-08,23.31594466,,,,,,,415,-1.46E-08,20.66795192,415,-1.37E-08,19.34962577,,,,,,,415,-1.45E-08,20.50493309,415,-1.36E-08,19.27874802,,,,,,,415,-1.95E-08,27.67067362,415,-1.42E-08,20.06974371,,,,,,,415,-1.54E-08,21.87429122,415,-1.30E-08,18.46507144,,,,,,,415,-1.76E-08,24.97306645,415,-1.43E-08,20.2526083,,,,,,,415,-2.50E-08,35.49841234,,,,415,-2.69E-08,38.13222953,,,
420,-2.98E-07,420,-1.99E-08,6.667874554,420,-1.68E-08,5.63378864,,,,,,,420,-3.80E-08,12.73314745,420,-1.93E-08,6.461191581,,,,,,,420,-1.69E-08,5.67975547,420,-1.73E-08,5.810945474,,,,,,,420,-1.66E-08,5.566683778,420,-1.45E-08,4.855707772,,,,,,,420,-2.38E-08,7.975748303,420,-1.44E-08,4.822490865,,,,,,,420,-4.48E-08,15.01605484,420,-1.51E-08,5.067759134,,,,,,,420,-1.95E-08,6.540375317,420,-1.36E-08,4.549374079,,,,,,,420,-2.94E-08,9.867434346,420,-1.50E-08,5.047627675,,,,,,,420,-7.82E-08,26.22793508,,,,420,-8.52E-08,28.58667096,,,
425,-1.90E-07,425,-1.79E-08,9.466231971,425,-1.63E-08,8.600006331,,,,,,,425,-3.12E-08,16.45353929,425,-1.85E-08,9.77326201,,,,,,,425,-1.64E-08,8.66805938,425,-1.69E-08,8.897013051,,,,,,,425,-1.59E-08,8.378965805,425,-1.41E-08,7.41250699,,,,,,,425,-1.99E-08,10.48966543,425,-1.37E-08,7.218371158,,,,,,,425,-3.61E-08,19.02161871,425,-1.46E-08,7.708458625,,,,,,,425,-1.79E-08,9.437217105,425,-1.33E-08,7.019487439,,,,,,,425,-2.56E-08,13.51987255,425,-1.46E-08,7.723229829,,,,,,,425,-6.00E-08,31.67790333,,,,425,-6.38E-08,33.67676384,,,
430,-1.51E-07,430,-1.74E-08,11.5204269,430,-1.61E-08,10.64140327,,,,,,,430,-2.90E-08,19.13643028,430,-1.83E-08,12.07518261,,,,,,,430,-1.63E-08,10.73254171,430,-1.67E-08,11.03369481,,,,,,,430,-1.57E-08,10.35940245,430,-1.39E-08,9.173281908,,,,,,,430,-1.87E-08,12.37105232,430,-1.36E-08,8.998930114,,,,,,,430,-3.34E-08,22.04625606,430,-1.44E-08,9.531891849,,,,,,,430,-1.77E-08,11.67430556,430,-1.32E-08,8.688531086,,,,,,,430,-2.48E-08,16.37057681,430,-1.45E-08,9.578781915,,,,,,,430,-5.39E-08,35.62918543,,,,430,-5.63E-08,37.1706138,,,
435,-1.48E-07,435,-1.79E-08,12.11612868,435,-1.61E-08,10.87556482,,,,,,,435,-3.01E-08,20.34213588,435,-1.82E-08,12.33326118,,,,,,,435,-1.62E-08,10.9689115,435,-1.67E-08,11.27803783,,,,,,,435,-1.58E-08,10.6902243,435,-1.39E-08,9.379988636,,,,,,,435,-1.91E-08,12.89334127,435,-1.37E-08,9.272437025,,,,,,,435,-3.51E-08,23.77025894,435,-1.44E-08,9.748640385,,,,,,,435,-1.83E-08,12.36167104,435,-1.31E-08,8.888227495,,,,,,,435,-2.58E-08,17.47679861,435,-1.45E-08,9.800048703,,,,,,,435,-5.66E-08,38.25387592,,,,435,-5.81E-08,39.29015937,,,
440,-1.41E-07,440,-1.81E-08,12.82988455,440,-1.60E-08,11.33466713,,,,,,,440,-3.10E-08,21.89733547,440,-1.82E-08,12.84685156,,,,,,,440,-1.62E-08,11.44990138,440,-1.66E-08,11.7602562,,,,,,,440,-1.58E-08,11.17701536,440,-1.38E-08,9.773702554,,,,,,,440,-1.91E-08,13.49230476,440,-1.38E-08,9.749665962,,,,,,,440,-3.60E-08,25.46606245,440,-1.44E-08,10.17030633,,,,,,,440,-1.89E-08,13.35727566,440,-1.31E-08,9.279538497,,,,,,,440,-2.64E-08,18.68350171,440,-1.45E-08,10.21908647,,,,,,,440,-5.74E-08,40.59356244,,,,440,-5.85E-08,41.39171869,,,
445,-1.43E-07,445,-1.86E-08,12.995188,445,-1.60E-08,11.22076432,,,,,,,445,-3.30E-08,23.07869852,445,-1.82E-08,12.7126231,,,,,,,445,-1.62E-08,11.31518577,445,-1.66E-08,11.62782565,,,,,,,445,-1.58E-08,11.08297896,445,-1.38E-08,9.665957923,,,,,,,445,-1.92E-08,13.40784467,445,-1.37E-08,9.598813787,,,,,,,445,-3.78E-08,26.44919427,445,-1.44E-08,10.07022158,,,,,,,445,-1.98E-08,13.83938563,445,-1.31E-08,9.1777641,,,,,,,445,-2.74E-08,19.19832699,445,-1.45E-08,10.11848142,,,,,,,445,-6.07E-08,42.43369517,,,,445,-6.14E-08,42.94706804,,,
