"","SppTreat","spot","value","Oprop","manip","alpha"
"1","C.octos_alterd","bright",40.6343550318074,"Absorptivity","alterd",0.5
"2","C.octos_alterd","darkpt",80.6701568590306,"Absorptivity","alterd",0.5
"3","C.octos_intact","bright",35.250898940014,"Absorptivity","intact",1
"4","C.octos_intact","darkpt",84.1388770612524,"Absorptivity","intact",1
"5","C.scala_alterd","bright",21.5648711327344,"Absorptivity","alterd",0.5
"6","C.scala_alterd","darkpt",79.5099190218034,"Absorptivity","alterd",0.5
"7","C.scala_intact","bright",37.2073031169444,"Absorptivity","intact",1
"8","C.scala_intact","darkpt",82.2588628048334,"Absorptivity","intact",1
"9","C.sexpl_alterd","bright",21.747682097694,"Absorptivity","alterd",0.5
"10","C.sexpl_alterd","darkpt",79.8753126131819,"Absorptivity","alterd",0.5
"11","C.sexpl_intact","bright",39.4180879203581,"Absorptivity","intact",1
"12","C.sexpl_intact","darkpt",83.2370243596606,"Absorptivity","intact",1
"13","T.bonvo_alterd","bright",30.3913510755958,"Absorptivity","alterd",0.5
"14","T.bonvo_alterd","darkpt",70.2328722759601,"Absorptivity","alterd",0.5
"15","T.bonvo_intact","bright",52.5691397606183,"Absorptivity","intact",1
"16","T.bonvo_intact","darkpt",74.3567174049899,"Absorptivity","intact",1
"17","T.bruck_alterd","bright",4.74177284214295,"Absorptivity","alterd",0.5
"18","T.bruck_intact","bright",2.19084445019165,"Absorptivity","intact",1
"19","C.octos_alterd","bright",36.8949356491831,"Transmissivity","alterd",0.5
"20","C.octos_alterd","darkpt",10.4472504919881,"Transmissivity","alterd",0.5
"21","C.octos_intact","bright",31.2986859186838,"Transmissivity","intact",1
"22","C.octos_intact","darkpt",7.0511898605727,"Transmissivity","intact",1
"23","C.scala_alterd","bright",50.0968711879845,"Transmissivity","alterd",0.5
"24","C.scala_alterd","darkpt",10.2469849608577,"Transmissivity","alterd",0.5
"25","C.scala_intact","bright",31.7434340300322,"Transmissivity","intact",1
"26","C.scala_intact","darkpt",9.05729401093246,"Transmissivity","intact",1
"27","C.sexpl_alterd","bright",55.8339738206007,"Transmissivity","alterd",0.5
"28","C.sexpl_alterd","darkpt",9.67800765864673,"Transmissivity","alterd",0.5
"29","C.sexpl_intact","bright",27.5328765897749,"Transmissivity","intact",1
"30","C.sexpl_intact","darkpt",8.89050173026749,"Transmissivity","intact",1
"31","T.bonvo_alterd","bright",45.6456480269494,"Transmissivity","alterd",0.5
"32","T.bonvo_alterd","darkpt",19.5219065188251,"Transmissivity","alterd",0.5
"33","T.bonvo_intact","bright",19.3340708441408,"Transmissivity","intact",1
"34","T.bonvo_intact","darkpt",16.4377263445604,"Transmissivity","intact",1
"35","T.bruck_alterd","bright",66.7733137753413,"Transmissivity","alterd",0.5
"36","T.bruck_intact","bright",70.4834070238299,"Transmissivity","intact",1
"37","C.octos_alterd","bright",22.4707093190094,"Reflectivity","alterd",0.5
"38","C.octos_alterd","darkpt",8.88259264898123,"Reflectivity","alterd",0.5
"39","C.octos_intact","bright",33.4504151413022,"Reflectivity","intact",1
"40","C.octos_intact","darkpt",8.80993307817491,"Reflectivity","intact",1
"41","C.scala_alterd","bright",28.3382576792812,"Reflectivity","alterd",0.5
"42","C.scala_alterd","darkpt",10.2430960173389,"Reflectivity","alterd",0.5
"43","C.scala_intact","bright",31.0492628530234,"Reflectivity","intact",1
"44","C.scala_intact","darkpt",8.68384318423418,"Reflectivity","intact",1
"45","C.sexpl_alterd","bright",22.4183440817053,"Reflectivity","alterd",0.5
"46","C.sexpl_alterd","darkpt",10.4466797281714,"Reflectivity","alterd",0.5
"47","C.sexpl_intact","bright",33.049035489867,"Reflectivity","intact",1
"48","C.sexpl_intact","darkpt",7.87247391007193,"Reflectivity","intact",1
"49","T.bonvo_alterd","bright",23.9630008974548,"Reflectivity","alterd",0.5
"50","T.bonvo_alterd","darkpt",10.2452212052147,"Reflectivity","alterd",0.5
"51","T.bonvo_intact","bright",28.0967893952409,"Reflectivity","intact",1
"52","T.bonvo_intact","darkpt",9.20555625044967,"Reflectivity","intact",1
"53","T.bruck_alterd","bright",28.4849133825157,"Reflectivity","alterd",0.5
"54","T.bruck_intact","bright",27.3257485259785,"Reflectivity","intact",1
