"","spp","bbTemp","Measurement","ElyResponse"
"1","Aaureu","293bb","AUCTr",0.0091809820045553
"2","Alaetu","293bb","AUCTr",0.00629434750128155
"3","Aopali","293bb","AUCTr",0.008644498614225
"4","Aparvu","293bb","AUCTr",0.0095813444999937
"5","Coctos","293bb","AUCTr",0.0197229710154913
"6","Crayne","293bb","AUCTr",0.00628230927214701
"7","Csexpl","293bb","AUCTr",0.0105619026161453
"8","Elampr","293bb","AUCTr",0.0443031206255802
"9","Tbonvo","293bb","AUCTr",0.0103139478563242
"10","Tbruck","293bb","AUCTr",0.0141811545859383
"11","Aaureu","300bb","AUCTr",0.00963711796839406
"12","Alaetu","300bb","AUCTr",0.00656202894730984
"13","Aopali","300bb","AUCTr",0.00904495939332051
"14","Aparvu","300bb","AUCTr",0.00998811013158174
"15","Coctos","300bb","AUCTr",0.0204841556058746
"16","Crayne","300bb","AUCTr",0.00660791295049989
"17","Csexpl","300bb","AUCTr",0.0109611587823674
"18","Elampr","300bb","AUCTr",0.045002583056031
"19","Tbonvo","300bb","AUCTr",0.0109718608512135
"20","Tbruck","300bb","AUCTr",0.0148380208402715
"21","Aaureu","321bb","AUCTr",0.0111893691446726
"22","Alaetu","321bb","AUCTr",0.00748383681860632
"23","Aopali","321bb","AUCTr",0.0104067670192005
"24","Aparvu","321bb","AUCTr",0.0113656400218581
"25","Coctos","321bb","AUCTr",0.0230788088865039
"26","Crayne","321bb","AUCTr",0.00771090093010274
"27","Csexpl","321bb","AUCTr",0.0123228342611722
"28","Elampr","321bb","AUCTr",0.0474064458965151
"29","Tbonvo","321bb","AUCTr",0.0132111977502055
"30","Tbruck","321bb","AUCTr",0.017102344193458
"31","Aaureu","333bb","AUCTr",0.0394093065751074
"32","Alaetu","333bb","AUCTr",0.024681167248067
"33","Aopali","333bb","AUCTr",0.0354762806081936
"34","Aparvu","333bb","AUCTr",0.0361849983085563
"35","Coctos","333bb","AUCTr",0.0728121628254695
"36","Crayne","333bb","AUCTr",0.0276142981565872
